Title,Year,Company,Form,Episodes,Genres,Link
Gochuumon wa Usagi Desu ka??? 3,  2020,Encourage Films  ,TV ,12,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2832-gochuumon-wa-usagi-desu-ka-3/
Gochuumon wa Usagi Desuka??: Sing for You,  2019,production doA  ,OVA ,1,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2684-gochuumon-wa-usagi-desuka-sing-for-you/
God Eater,  2015,ufotable  ,TV ,13,"Action,Fantasy,Military",https://www.animeunity.tv/anime/3597-god-eater/
Godzilla: S.P,  2021,"Bones, Orange  ",TV ,13,"Action,Mecha,Mystery",https://www.animeunity.tv/anime/3004-godzilla-sp/
Godzilla: S.P (ITA),  2021,"Bones, Orange  ",TV ,13,"Action,Mecha,Mystery",https://www.animeunity.tv/anime/3133-godzilla-sp-ita/
Gokujo.,  2012,LMD  ,TV ,12,"Comedy,Ecchi,School",https://www.animeunity.tv/anime/2235-gokujo/
Gokukoku no Brynhildr,  2014,Arms  ,TV ,13,"Drama,Mystery,Sci-fi",https://www.animeunity.tv/anime/2004-gokukoku-no-brynhildr/
Gokukoku no Brynhildr: Kara Sawagi,  2014,Arms  ,Special ,1,"Comedy,Ecchi,Harem",https://www.animeunity.tv/anime/2655-gokukoku-no-brynhildr-kara-sawagi/
Gokusen,  2004,Madhouse  ,TV ,13,"Comedy,Drama,Josei",https://www.animeunity.tv/anime/3801-gokusen/
Gokushufudou,  2021,J.C.Staff  ,ONA ,5,"Comedy,Romance,Slice of Life",https://www.animeunity.tv/anime/3031-gokushufudou/
Gokushufudou (ITA),  2021,J.C.Staff  ,ONA ,5,"Comedy,Romance,Slice of Life",https://www.animeunity.tv/anime/3030-gokushufudou-ita/
Gokushufudou Part 2,  2021,J.C.Staff  ,ONA ,5,"Comedy,Romance,Slice of Life",https://www.animeunity.tv/anime/3259-gokushufudou-part-2/
Gokushufudou Part 2 (ITA),  2021,J.C.Staff  ,ONA ,5,"Comedy,Romance,Slice of Life",https://www.animeunity.tv/anime/3253-gokushufudou-part-2-ita/
Golden Kamuy,  2018,Geno Studio  ,TV ,12,"Action,Adventure,Historical",https://www.animeunity.tv/anime/1035-golden-kamuy/
